,AllInsects,Azamiuma,Hachi,Ga350,Ga550,Ga350550,Y
577,1.52E-11,0.88,0,7.81E-02,0.82460868,0.82460868,0.8983
578,1.13E-11,0.88,0,7.70E-02,0.812245941,0.812245941,0.8892
579,8.36E-12,0.88,0,7.59E-02,0.799581341,0.799581341,0.8798
580,6.17E-12,0.88,0,7.47E-02,0.786631683,0.786631683,0.87
581,4.55E-12,0.88,0,7.36E-02,0.773414191,0.773414191,0.8598
582,3.35E-12,0.88,0,7.24E-02,0.759946463,0.759946463,0.8494
583,2.45E-12,0.88,0,7.12E-02,0.746246428,0.746246428,0.8386
584,1.80E-12,0.88,0,7.00E-02,0.732332305,0.732332305,0.8276
585,1.31E-12,0.88,0,6.87E-02,0.718222552,0.718222552,0.8163
586,9.57E-13,0.88008,0,6.75E-02,0.703935824,0.703935824,0.8048
587,6.96E-13,0.88014,0,6.62E-02,0.689490922,0.689490922,0.7931
588,5.06E-13,0.88016,0,6.50E-02,0.674906749,0.674906749,0.7812
589,3.66E-13,0.88012,0,6.37E-02,0.66020226,0.66020226,0.7692
590,2.65E-13,0.88,0,6.24E-02,0.645396417,0.645396417,0.757
591,1.91E-13,0.87912,0,6.11E-02,0.630508139,0.630508139,0.7448
592,1.37E-13,0.87816,0,5.98E-02,0.615556258,0.615556258,0.7324
593,9.86E-14,0.87714,0,5.85E-02,0.600559471,0.600559471,0.72
594,7.06E-14,0.87608,0,5.72E-02,0.585536298,0.585536298,0.7075
595,5.05E-14,0.875,0,5.59E-02,0.570505031,0.570505031,0.6949
596,3.60E-14,0.874,0,5.46E-02,0.555483696,0.555483696,0.6822
597,2.56E-14,0.873,0,5.33E-02,0.540490012,0.540490012,0.6695
598,1.82E-14,0.872,0,5.20E-02,0.525541346,0.525541346,0.6567
599,1.29E-14,0.871,0,5.08E-02,0.510654675,0.510654675,0.6439
600,9.11E-15,0.87,0,4.95E-02,0.495846553,0.495846553,0.631
601,6.43E-15,0.869,0,4.82E-02,0.48113307,0.48113307,0.6182
602,4.52E-15,0.868,0,4.69E-02,0.466529823,0.466529823,0.6053
603,3.18E-15,0.867,0,4.56E-02,0.452051881,0.452051881,0.5925
604,2.23E-15,0.866,0,4.44E-02,0.437713759,0.437713759,0.5796
605,1.56E-15,0.865,0,4.31E-02,0.423529391,0.423529391,0.5668
606,1.09E-15,0.864,0,4.19E-02,0.409512102,0.409512102,0.554
607,7.56E-16,0.863,0,4.07E-02,0.395674589,0.395674589,0.5411
608,5.25E-16,0.862,0,3.95E-02,0.382028904,0.382028904,0.5284
609,3.64E-16,0.861,0,3.83E-02,0.36858643,0.36858643,0.5157
610,2.51E-16,0.86,0,3.71E-02,0.355357872,0.355357872,0.503
611,1.73E-16,0.859,0,3.59E-02,0.342353243,0.342353243,0.4905
612,1.19E-16,0.858,0,3.48E-02,0.329581857,0.329581857,0.4781
613,8.20E-17,0.857,0,3.37E-02,0.317052319,0.317052319,0.4657
614,5.62E-17,0.856,0,3.26E-02,0.30477252,0.30477252,0.4534
615,3.84E-17,0.855,0,3.15E-02,0.292749641,0.292749641,0.4412
616,2.62E-17,0.854,0,3.04E-02,0.280990147,0.280990147,0.4291
617,1.78E-17,0.853,0,2.93E-02,0.269499794,0.269499794,0.417
618,1.21E-17,0.852,0,2.83E-02,0.258283633,0.258283633,0.405
619,8.20E-18,0.851,0,2.73E-02,0.247346017,0.247346017,0.393
620,5.55E-18,0.85,0,2.63E-02,0.236690613,0.236690613,0.381
621,3.74E-18,0.849,0,2.53E-02,0.22632041,0.22632041,0.3689
622,2.52E-18,0.848,0,2.44E-02,0.216237737,0.216237737,0.3568
623,1.69E-18,0.847,0,2.34E-02,0.206444277,0.206444277,0.3447
624,1.13E-18,0.846,0,2.25E-02,0.19694108,0.19694108,0.3328
625,7.57E-19,0.845,0,2.16E-02,0.187728591,0.187728591,0.321
626,5.05E-19,0.844,0,2.08E-02,0.178806661,0.178806661,0.3094
627,3.36E-19,0.843,0,1.99E-02,0.170174575,0.170174575,0.2979
628,2.23E-19,0.842,0,1.91E-02,0.161831072,0.161831072,0.2867
629,1.48E-19,0.841,0,1.83E-02,0.153774369,0.153774369,0.2757
630,9.76E-20,0.84,0,1.75E-02,0.146002188,0.146002188,0.265
631,6.44E-20,0.839,0,1.68E-02,0.13851178,0.13851178,0.2548
632,4.24E-20,0.838,0,1.61E-02,0.131299952,0.131299952,0.245
633,2.78E-20,0.837,0,1.54E-02,0.124363093,0.124363093,0.2354
634,1.82E-20,0.836,0,1.47E-02,0.117697203,0.117697203,0.2261
635,1.19E-20,0.835,0,1.40E-02,0.111297919,0.111297919,0.217
636,7.76E-21,0.834,0,1.34E-02,0.105160544,0.105160544,0.2081
637,5.04E-21,0.833,0,1.27E-02,0.099280074,0.099280074,0.1995
638,3.27E-21,0.832,0,1.21E-02,0.093651225,0.093651225,0.1911
639,2.12E-21,0.831,0,1.16E-02,0.088268461,0.088268461,0.183
640,1.37E-21,0.83,0,1.10E-02,0.083126024,0.083126024,0.175
641,8.83E-22,0.828936,0,1.05E-02,0.078217954,0.078217954,0.1672
642,5.68E-22,0.827888,0,9.95E-03,0.073538121,0.073538121,0.1596
643,3.64E-22,0.826872,0,9.45E-03,0.06908025,0.06908025,0.1523
644,2.33E-22,0.825904,0,8.97E-03,0.064837941,0.064837941,0.1451
645,1.49E-22,0.825,0,8.51E-03,0.060804699,0.060804699,0.1382
646,9.49E-23,0.82472,0,8.07E-03,0.056973952,0.056973952,0.1315
647,6.03E-23,0.8245,0,7.64E-03,0.05333908,0.05333908,0.125
648,3.83E-23,0.82432,0,7.23E-03,0.049893427,0.049893427,0.1188
649,2.42E-23,0.82416,0,6.84E-03,0.04663033,0.04663033,0.1128
650,1.53E-23,0.824,0,6.47E-03,0.043543134,0.043543134,0.107
651,9.63E-24,0.823624,0,6.11E-03,0.040625211,0.040625211,0.1015
652,6.05E-24,0.823232,0,5.77E-03,0.037869975,0.037869975,0.0962
653,3.79E-24,0.822828,0,5.45E-03,0.035270905,0.035270905,0.0911
654,2.37E-24,0.822416,0,5.14E-03,0.03282155,0.03282155,0.0863
655,1.48E-24,0.822,0,4.84E-03,0.03051555,0.03051555,0.0816
656,9.23E-25,0.822368,0,4.56E-03,0.028346648,0.028346648,0.0771
657,5.73E-25,0.822544,0,4.29E-03,0.026308697,0.026308697,0.0728
658,3.55E-25,0.822336,0,4.03E-03,0.024395675,0.024395675,0.0687
659,2.20E-25,0.821552,0,3.79E-03,0.022601695,0.022601695,0.0648
660,1.36E-25,0.82,0,3.56E-03,0.020921006,0.020921006,0.061
661,8.35E-26,0.810672,0,3.34E-03,0.019348011,0.019348011,0.0574
662,5.13E-26,0.800696,0,3.13E-03,0.017877263,0.017877263,0.0539
663,3.14E-26,0.790384,0,2.93E-03,0.016503479,0.016503479,0.0507
664,1.92E-26,0.780048,0,2.75E-03,0.015221538,0.015221538,0.0475
665,1.17E-26,0.77,0,2.57E-03,0.014026486,0.014026486,0.0446
666,7.13E-27,0.76512,0,2.40E-03,0.012913544,0.012913544,0.0418
667,4.33E-27,0.76076,0,2.25E-03,0.011878099,0.011878099,0.0391
668,2.62E-27,0.75684,0,2.10E-03,0.010915716,0.010915716,0.0366
669,1.59E-27,0.75328,0,1.96E-03,0.010022133,0.010022133,0.0342
670,9.56E-28,0.75,0,1.82E-03,0.009193261,0.009193261,0.032
671,5.75E-28,0.74816,0,1.70E-03,0.008425182,0.008425182,0.03
672,3.45E-28,0.74638,0,1.58E-03,0.007714151,0.007714151,0.0281
673,2.07E-28,0.74452,0,1.47E-03,0.007056591,0.007056591,0.0263
674,1.24E-28,0.74244,0,1.37E-03,0.006449094,0.006449094,0.0247
675,7.36E-29,0.74,0,1.27E-03,0.005888411,0.005888411,0.0232
676,4.38E-29,0.73376,0,1.18E-03,0.005371458,0.005371458,0.0218
677,2.60E-29,0.72708,0,1.09E-03,0.004895305,0.004895305,0.0205
678,1.54E-29,0.72002,0,1.01E-03,0.004457175,0.004457175,0.0193
679,9.08E-30,0.71264,0,9.40E-04,0.004054441,0.004054441,0.0181
680,5.35E-30,0.705,0,8.70E-04,0.003684617,0.003684617,0.017
681,3.15E-30,0.69568,0,8.05E-04,0.00334536,0.00334536,0.0159
682,1.85E-30,0.68634,0,7.43E-04,0.003034459,0.003034459,0.0148
683,1.08E-30,0.67716,0,6.86E-04,0.002749835,0.002749835,0.0138
684,6.30E-31,0.66832,0,6.33E-04,0.002489533,0.002489533,0.0128
685,3.67E-31,0.66,0,5.84E-04,0.002251718,0.002251718,0.0119
686,2.13E-31,0.65716,0,5.38E-04,0.002034669,0.002034669,0.0111
687,1.24E-31,0.65488,0,4.95E-04,0.001836776,0.001836776,0.0103
688,7.15E-32,0.65302,0,4.56E-04,0.001656533,0.001656533,0.0095
689,4.13E-32,0.65144,0,4.19E-04,0.001492536,0.001492536,0.0088
690,2.38E-32,0.65,0,3.84E-04,0.001343473,0.001343473,0.0082
691,1.37E-32,0.64816,0,3.53E-04,0.001208124,0.001208124,0.0076
692,7.83E-33,0.64628,0,3.24E-04,0.001085355,0.001085355,0.0071
693,4.47E-33,0.64432,0,2.96E-04,0.000974111,0.000974111,0.0066
694,2.55E-33,0.64224,0,2.71E-04,0.000873415,0.000873415,0.0061
695,1.45E-33,0.64,0,2.48E-04,0.000782361,0.000782361,0.0057
696,8.25E-34,0.63624,0,2.27E-04,0.000700111,0.000700111,0.0053
697,4.67E-34,0.63232,0,2.07E-04,0.000625892,0.000625892,0.005
698,2.64E-34,0.62828,0,1.89E-04,0.000558989,0.000558989,0.0047
699,1.49E-34,0.62416,0,1.72E-04,0.000498744,0.000498744,0.0044
700,8.38E-35,0.62,0,1.57E-04,0.000444552,0.000444552,0.0041
701,0,0.616,0,0,0,0,0.0038
702,0,0.612,0,0,0,0,0.0036
703,0,0.608,0,0,0,0,0.0034
704,0,0.604,0,0,0,0,0.0031
705,0,0.6,0,0,0,0,0.0029
706,0,0.596,0,0,0,0,0.0027
707,0,0.592,0,0,0,0,0.0026
708,0,0.588,0,0,0,0,0.0024
709,0,0.584,0,0,0,0,0.0022
710,0,0.58,0,0,0,0,0.0021
711,0,0.576,0,0,0,0,0.002
712,0,0.572,0,0,0,0,0.0018
713,0,0.568,0,0,0,0,0.0017
714,0,0.564,0,0,0,0,0.0016
715,0,0.56,0,0,0,0,0.0015
716,0,0.556,0,0,0,0,0.0014
717,0,0.552,0,0,0,0,0.0013
718,0,0.548,0,0,0,0,0.0012
719,0,0.544,0,0,0,0,0.0011
720,0,0.54,0,0,0,0,0.001
721,0,0.536,0,0,0,0,0.001
722,0,0.532,0,0,0,0,0.0009
723,0,0.528,0,0,0,0,0.0008
724,0,0.524,0,0,0,0,0.0008
725,0,0.52,0,0,0,0,0.0007
726,0,0.516,0,0,0,0,0.0007
727,0,0.512,0,0,0,0,0.0006
728,0,0.508,0,0,0,0,0.0006
729,0,0.504,0,0,0,0,0.0006
730,0,0.5,0,0,0,0,0.0005
731,0,0.496,0,0,0,0,0.0005
732,0,0.492,0,0,0,0,0.0004
733,0,0.488,0,0,0,0,0.0004
734,0,0.484,0,0,0,0,0.0004
735,0,0.48,0,0,0,0,0.0004
736,0,0.48304,0,0,0,0,0.0003
737,0,0.48432,0,0,0,0,0.0003
738,0,0.48208,0,0,0,0,0.0003
739,0,0.47456,0,0,0,0,0.0003
740,0,0.46,0,0,0,0,0.0002
741,0,0.3712,0,0,0,0,0.0002
742,0,0.2772,0,0,0,0,0.0002
743,0,0.1816,0,0,0,0,0.0002
744,0,0.088,0,0,0,0,0.0002
